*Action(SiteID=US|Country=US|Currency=USD|Version=1193|CC=UTF-8),CustomLabel,*Category,*Title,*ConditionID,CD:Card Condition - (ID: 40001),*C:Sport,C:Player/Athlete,C:Manufacturer,C:Season,C:Set,C:Team,C:Autographed,C:Card Number,C:Type,C:Year Manufactured,C:Language,PicURL,*Description,*Format,*Duration,*StartPrice,*Quantity,*Location,ShippingType,ShippingService-1:Option,ShippingService-1:Cost,*DispatchTimeMax,*ReturnsAcceptedOption
Add,MISC_001_B_0011_01,261328,1994 Upper Deck Top Prospects #542 Mike Bell Texas Rangers,4000,400012,Baseball,Mike Bell,Upper Deck,1994,Upper Deck Top Prospects,Texas Rangers,No,542,Trading Card,1994,English,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/MISC_001_B_0011_01_a.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/MISC_001_B_0011_01_b.webp,<p><strong>1994 Upper Deck Top Prospects</strong></p><ul><li>Player: Mike Bell</li><li>Team: Texas Rangers</li><li>Card Number: 542</li></ul><p><strong>Condition Notes</strong></p><ul><li>Please review photos for condition.</li></ul><p>Please review all photos carefully before purchase.</p>,FixedPrice,GTC,25.00,1,"Kansas City, MO",Flat,USPSPriority,0.00,1,ReturnsNotAccepted
Add,MISC_001_B_0011_02,261328,1994 Upper Deck Top Prospects #546 Johnny Damon Kansas City Royals,4000,400012,Baseball,Johnny Damon,Upper Deck,1994,Upper Deck Top Prospects,Kansas City Royals,No,546,Trading Card,1994,English,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/MISC_001_B_0011_02_a.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/MISC_001_B_0011_02_b.webp,<p><strong>1994 Upper Deck Top Prospects</strong></p><ul><li>Player: Johnny Damon</li><li>Team: Kansas City Royals</li><li>Card Number: 546</li></ul><p><strong>Condition Notes</strong></p><ul><li>Please review photos for condition.</li></ul><p>Please review all photos carefully before purchase.</p>,FixedPrice,GTC,25.00,1,"Kansas City, MO",Flat,USPSPriority,0.00,1,ReturnsNotAccepted
Add,MISC_001_C_0001_01,261328,1981 Topps Baseball #700 George Brett Kansas City Royals,4000,400012,Baseball,George Brett,Topps,1981,Topps Baseball,Kansas City Royals,No,700,Trading Card,1981,English,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/MISC_001_C_0001_01_a.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/MISC_001_C_0001_01_b.webp,<p><strong>1981 Topps Baseball</strong></p><ul><li>Player: George Brett</li><li>Team: Kansas City Royals</li><li>Card Number: 700</li></ul><p><strong>Condition Notes</strong></p><ul><li>Please review photos for condition.</li></ul><p>Please review all photos carefully before purchase.</p>,FixedPrice,GTC,25.00,1,"Kansas City, MO",Flat,USPSPriority,0.00,1,ReturnsNotAccepted
Add,MISC_001_C_0001_02,261328,1993 The Upper Deck Looss Collection #WI 22 George Brett Kansas City Royals,4000,400012,Baseball,George Brett,Upper Deck,1993,The Upper Deck Looss Collection,Kansas City Royals,No,WI 22,Trading Card,1993,English,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/MISC_001_C_0001_02_a.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/MISC_001_C_0001_02_b.webp,<p><strong>1993 The Upper Deck Looss Collection</strong></p><ul><li>Player: George Brett</li><li>Team: Kansas City Royals</li><li>Card Number: WI 22</li></ul><p><strong>Condition Notes</strong></p><ul><li>Please review photos for condition.</li></ul><p>Please review all photos carefully before purchase.</p>,FixedPrice,GTC,25.00,1,"Kansas City, MO",Flat,USPSPriority,0.00,1,ReturnsNotAccepted
Add,T_001_A_003_237,261328,1994 Topps Baseball #237 Curtis Pride Montreal Expos,4000,400012,Baseball,Curtis Pride,Topps,1994,Topps Baseball,Montreal Expos,No,237,Trading Card,1994,English,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/T_001_A_003_237_a.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/T_001_A_003_237_b.webp,<p><strong>1994 Topps Baseball</strong></p><ul><li>Player: Curtis Pride</li><li>Team: Montreal Expos</li><li>Card Number: 237</li></ul><p><strong>Condition Notes</strong></p><ul><li>Please review photos for condition.</li></ul><p>Please review all photos carefully before purchase.</p>,FixedPrice,GTC,25.00,1,"Kansas City, MO",Flat,USPSPriority,0.00,1,ReturnsNotAccepted
Add,T_001_A_003_389,261328,1994 Topps Baseball #389 Luis Ortiz Boston Red Sox,4000,400012,Baseball,Luis Ortiz,Topps,1994,Topps Baseball,Boston Red Sox,No,389,Trading Card,1994,English,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/T_001_A_003_389_a.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/T_001_A_003_389_b.webp,<p><strong>1994 Topps Baseball</strong></p><ul><li>Player: Luis Ortiz</li><li>Team: Boston Red Sox</li><li>Card Number: 389</li></ul><p><strong>Condition Notes</strong></p><ul><li>Please review photos for condition.</li></ul><p>Please review all photos carefully before purchase.</p>,FixedPrice,GTC,25.00,1,"Kansas City, MO",Flat,USPSPriority,0.00,1,ReturnsNotAccepted
Add,T_001_A_003_448,261328,1994 Topps Baseball #448 Greg Pirkl Seattle Mariners,4000,400012,Baseball,Greg Pirkl,Topps,1994,Topps Baseball,Seattle Mariners,No,448,Trading Card,1994,English,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/T_001_A_003_448_a.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/T_001_A_003_448_b.webp,<p><strong>1994 Topps Baseball</strong></p><ul><li>Player: Greg Pirkl</li><li>Team: Seattle Mariners</li><li>Card Number: 448</li></ul><p><strong>Condition Notes</strong></p><ul><li>Please review photos for condition.</li></ul><p>Please review all photos carefully before purchase.</p>,FixedPrice,GTC,25.00,1,"Kansas City, MO",Flat,USPSPriority,0.00,1,ReturnsNotAccepted
Add,T_001_A_003_527,261328,1994 Topps Baseball #527 Norberto Martin Chicago White Sox,4000,400012,Baseball,Norberto Martin,Topps,1994,Topps Baseball,Chicago White Sox,No,527,Trading Card,1994,English,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/T_001_A_003_527_a.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/T_001_A_003_527_b.webp,<p><strong>1994 Topps Baseball</strong></p><ul><li>Player: Norberto Martin</li><li>Team: Chicago White Sox</li><li>Card Number: 527</li></ul><p><strong>Condition Notes</strong></p><ul><li>Please review photos for condition.</li></ul><p>Please review all photos carefully before purchase.</p>,FixedPrice,GTC,25.00,1,"Kansas City, MO",Flat,USPSPriority,0.00,1,ReturnsNotAccepted
Add,T_001_B_007_384,261328,1994 Topps Baseball #384 Frank Thomas Chicago White Sox,4000,400012,Baseball,Frank Thomas,Topps,1994,Topps Baseball,Chicago White Sox,No,384,Trading Card,1994,English,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/T_001_B_007_384_a.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/T_001_B_007_384_b.webp,<p><strong>1994 Topps Baseball</strong></p><ul><li>Player: Frank Thomas</li><li>Team: Chicago White Sox</li><li>Card Number: 384</li></ul><p><strong>Condition Notes</strong></p><ul><li>Please review photos for condition.</li></ul><p>Please review all photos carefully before purchase.</p>,FixedPrice,GTC,25.00,1,"Kansas City, MO",Flat,USPSPriority,0.00,1,ReturnsNotAccepted
Add,T_001_B_007_385,261328,1994 Topps Baseball #385 Roberto Alomar Toronto Blue Jays,4000,400012,Baseball,Roberto Alomar,Topps,1994,Topps Baseball,Toronto Blue Jays,No,385,Trading Card,1994,English,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/T_001_B_007_385_a.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/T_001_B_007_385_b.webp,<p><strong>1994 Topps Baseball</strong></p><ul><li>Player: Roberto Alomar</li><li>Team: Toronto Blue Jays</li><li>Card Number: 385</li></ul><p><strong>Condition Notes</strong></p><ul><li>Please review photos for condition.</li></ul><p>Please review all photos carefully before purchase.</p>,FixedPrice,GTC,25.00,1,"Kansas City, MO",Flat,USPSPriority,0.00,1,ReturnsNotAccepted
